Logging results to [1m/home/ros/vonduke-builds/AKSUMAEL/runs/detect/data/models/aksumael_mc[0m
      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size

[K       1/30     0.703G      2.834        6.2      2.005         40        320: 52% ━━━━━━────── 52/100 7.2it/s 9.8s<6.7s
[K       1/30     0.703G      2.831      6.188      2.002         28        320: 53% ━━━━━━────── 53/100 7.4it/s 10.0s<6.4s
[K       1/30     0.703G      2.818      6.171      1.995         27        320: 54% ━━━━━━────── 54/100 7.9it/s 10.1s<5.8s
[K       1/30     0.703G      2.807      6.152      1.991         30        320: 55% ━━━━━━╸───── 55/100 7.8it/s 10.2s<5.8s
[K       1/30     0.703G      2.807      6.145      1.987         42        320: 56% ━━━━━━╸───── 56/100 7.7it/s 10.3s<5.7s
[K       1/30     0.703G       2.79      6.129      1.981         25        320: 56% ━━━━━━╸───── 57/100 7.6it/s 10.5s<5.6s
[K       1/30     0.703G      2.786      6.115      1.978         39        320: 57% ━━━━━━╸───── 58/100 7.9it/s 10.6s<5.3s
[K       1/30     0.703G       2.78      6.104      1.974         32        320: 59% ━━━━━━━───── 59/100 7.7it/s 10.7s<5.3s
[K       1/30     0.703G      2.772      6.093      1.969         40        320: 60% ━━━━━━━───── 60/100 8.0it/s 10.8s<5.0s
[K       1/30     0.703G      2.773      6.083      1.969         40        320: 61% ━━━━━━━───── 61/100 7.7it/s 11.0s<5.0s
[K       1/30     0.703G      2.776       6.07      1.971         29        320: 62% ━━━━━━━───── 62/100 7.7it/s 11.1s<4.9s
[K       1/30     0.703G      2.775      6.056      1.969         45        320: 63% ━━━━━━━╸──── 63/100 7.7it/s 11.2s<4.8s
[K       1/30     0.703G       2.77      6.049      1.968         30        320: 64% ━━━━━━━╸──── 64/100 8.1it/s 11.4s<4.4s
[K       1/30     0.703G      2.767      6.034      1.967         24        320: 65% ━━━━━━━╸──── 65/100 8.0it/s 11.5s<4.4s
[K       1/30     0.703G      2.764      6.023      1.962         29        320: 66% ━━━━━━━╸──── 66/100 7.8it/s 11.6s<4.3s
